Value
"						STEAM TRAP"
"** SPECIAL FITTING **  CAP .688"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** CAP .625"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** ELL 45 DEG 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 60 .625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 90 DEG LR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .750"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .875"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .625"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 LR 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER CONC .750"" WALL X .562"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .500"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X SCH 80S A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .875"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC 0.625"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** TEE .625"" WALL LOTEMP STL A420 WPL6-W ASME B16,9"
"Anvil FIG211 Size B Sway Strut Assembly (Option 3), 6 in Clamp, W: 10.88 in, Painted"
"Anvil FIG211 Size B Sway Strut Assembly (Option 3), 6 in Clamp, W: 21.56 in, Painted"
"Anvil FIG211 Size B Sway Strut Assembly (Option 3), 6 in Clamp, W: 42.56 in, Painted"
"Anvil FIG211 Size B Sway Strut Assembly (Option 3), 6 in Clamp, W: 52.52 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 2), W: 49.12 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 2), W: 49.71 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 10 in Clamp, W: 60.61 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 12 in Clamp, W: 21.42 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 12 in Clamp, W: 53.18 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 18 in Clamp, W: 149.94 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 24 in Clamp, W: 72.86 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 36 in Clamp, W: 40.85 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 4 in Clamp, W: 12.87 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 11.12 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 11.37 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 11.75 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 11.76 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 12.88 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 18.14 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 18.31 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 6 in Clamp, W: 9.75 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 8 in Clamp, W: 34.37 in, Painted"
"Anvil FIG211 Size C Sway Strut Assembly (Option 3), 8 in Clamp, W: 57.29 in, Painted"
"Anvil FIG212 1 1/2 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 1 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 10 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 12 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 14 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 16 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 18 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 2 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 20 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 24 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 3 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 4 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 6 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG212 8 in Medium Pipe Clamp, Finish: Black"
"Anvil FIG216 20 in Heavy Pipe Clamp, Finish: Black"
"Anvil FIG216 24 in Heavy Pipe Clamp, Finish: Black"
"Anvil FIG216 4 in Heavy Pipe Clamp, Finish: Black"
Anvil FIG224 12 in Alloy Steel Pipe Clamp
"Anvil FIG230 1 1/2 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG230 1/2 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG230 3/4 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG230 3/8 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG230 5/8 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG230 7/8 in Forged Steel Turnbuckle (6 in Opening), Finish: Black"
"Anvil FIG246 20 in Heavy Duty Alloy Steel Pipe Clamp, Exact O.D. 20.00 in"
"Anvil FIG248L 1 1/2 in Eye Rod Left Thread 23.36 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 1/2 in Eye Rod Left Thread 50.27 in long, center to end, D=4.00 in, Finish: Black"
"Anvil FIG248L 1 1/2 in Eye Rod Left Thread 9.32 in long, center to end, D=10.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 16.55 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 18.38 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 23.69 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 25.36 in long, center to end, D=7.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 25.60 in long, center to end, D=7.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 25.75 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 35.21 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 38.37 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 4.92 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 45.25 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 1/4 in Eye Rod Left Thread 55.49 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 3/4 in Eye Rod Left Thread 40.49 in long, center to end, D=7.00 in, Finish: Black"
"Anvil FIG248L 1 in Eye Rod Left Thread 16.59 in long, center to end, D=5.00 in, Finish: Black"
"Anvil FIG248L 1 in Eye Rod Left Thread 16.76 in long, center to end, D=4.00 in, Finish: Black"
"Anvil FIG248L 1/2 in Eye Rod Left Thread 39.38 in long, center to end, D=2.50 in, Finish: Black"
"Anvil FIG248L 2 in Eye Rod Left Thread 35.30 in long, center to end, D=8.00 in, Finish: Black"
"Anvil FIG248L 7/8 in Eye Rod Left Thread 23.68 in long, center to end, D=3.50 in, Finish: Black"
"Anvil FIG248L 7/8 in Eye Rod Left Thread 39.84 in long, center to end, D=3.50 in, Finish: Black"
"Anvil FIG253 1 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 11.95 in, D: 5.97 in, Finish: Black"
"Anvil FIG253 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 105.25 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 17.88 in, D: 8.94 in, Finish: Black"
"Anvil FIG253 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 23.14 in, D: 11.57 in, Finish: Black"
"Anvil FIG253 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 27.08 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 1/2 in End Threaded Rod Right and Left Hand Thread, Length: 70.27 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 3/4 in End Threaded Rod Right and Left Hand Thread, Length: 14.88 in, D: 7.44 in, Finish: Black"
"Anvil FIG253 3/4 in End Threaded Rod Right and Left Hand Thread, Length: 19.69 in, D: 9.84 in, Finish: Black"
"Anvil FIG253 3/4 in End Threaded Rod Right and Left Hand Thread, Length: 75.07 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand Thread, Length: 26.77 in, D: 12.00 in, Finish: Electro-Galvanized"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand Thread, Length: 42.83 in, D: 12.00 in, Finish: Electro-Galvanized"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand Thread, Length: 49.02 in, D: 12.00 in, Finish: Electro-Galvanized"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand ThreadLength  11.9933 in,D 5.9967 in,Finish Black"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand ThreadLength  12.0000 in,D 6.0000 in,Finish Black"
"Anvil FIG253 3/8 in End Threaded Rod Right and Left Hand ThreadLength  62.2480 in,D 12.0000 in,Finish Black"
"Anvil FIG253 4 in End Threaded Rod Right and Left Hand Thread, Length: 50.30 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 5/8 in End Threaded Rod Right and Left Hand Thread, Length: 12.00 in, D: 2.52 in, Finish: Black"
"Anvil FIG253 5/8 in End Threaded Rod Right and Left Hand Thread, Length: 7.86 in, D: 3.93 in, Finish: Black"
"Anvil FIG253 5/8 in End Threaded Rod Right and Left Hand Thread, Length: 75.07 in, D: 12.00 in, Finish: Black"
"Anvil FIG253 7/8 in End Threaded Rod Right and Left Hand Thread, Length: 10.09 in, D: 5.04 in, Finish: Black"
"Anvil FIG253 7/8 in End Threaded Rod Right and Left Hand Thread, Length: 15.75 in, D: 7.87 in, Finish: Black"
"Anvil FIG253 7/8 in End Threaded Rod Right and Left Hand Thread, Length: 74.12 in, D: 12.00 in, Finish: Black"
"Anvil FIG260 2 in Adjustable Clevis Hanger, Finish: Black"
"Anvil FIG260 2 in Adjustable Clevis Hanger, Finish: Galvanized"
"Anvil FIG260 3 in Adjustable Clevis Hanger, Finish: Black"
"Anvil FIG261 1 1/2 in Extension Pipe or Riser Clamp, Finish: Black"
"Anvil FIG261 1 in Extension Pipe or Riser Clamp, Finish: Black"
"Anvil FIG261 2 in Extension Pipe or Riser Clamp, Finish: Black"
"Anvil FIG261 4 in Extension Pipe or Riser Clamp, Finish: Black"
"Anvil FIG278 2 1/2 in Welded Eye Rod Right Thread 44.59 in long, center to end, D=12.00 in, Finish: Black"
"Anvil FIG290 1 1/2 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 1 1/4 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 1 3/4 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 1 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 1/2 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 2 1/4 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 2 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 3/4 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 3/8 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 3/8 in Weldless Eye Nut, Finish: Galvanized"
"Anvil FIG290 5/8 in Weldless Eye Nut, Finish: Black"
"Anvil FIG290 7/8 in Weldless Eye Nut, Finish: Black"
"Anvil FIG291 Size 1 1/8 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 1 3/8 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 1 5/8 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 1 7/8 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 1 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 1/2 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 2 1/2 Pin with Cotter Pins, Finish: Black"
"Anvil FIG291 Size 2 1/4 Pin with Cotter Pins, Finish: Black"
"Anvil FIG295 1 1/2 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 1 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 10 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 12 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 14 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 16 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 18 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 2 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 20 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 24 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 3 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 36 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 4 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 6 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295 8 in Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 12 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 14 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 16 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 20 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 24 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 34 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 36 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG295H 6 in Heavy Double Bolt Pipe Clamp, Finish: Black"
"Anvil FIG299 1 1/2 in Forged Steel Clevis (With Pin), Config: With Pin, Finish: Black"
"Anvil FIG299 1 in Forged Steel Clevis (With Pin), Config: With Pin, Finish: Black"
"Anvil FIG299 1/2 in Forged Steel Clevis (With Pin), Config: With Pin, Finish: Black"
"Anvil FIG40 2 in Standard Riser Clamp, Finish: Black"
"Anvil FIG40 4 in Standard Riser Clamp, Finish: Black"
"Anvil FIG40 6 in Standard Riser Clamp, Finish: Black"
"Anvil FIG40 8 in Standard Riser Clamp, Finish: Black"
"Anvil FIG55L 1 1/2 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 1 1/4 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 1 3/4 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 1 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 1/2 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 2 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 3/4 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 5/8 in Long Welding Lug, Finish: Black"
"Anvil FIG55L 7/8 in Long Welding Lug, Finish: Black"
"Anvil FIG55S 1 1/2 in Short Welding Lug, Finish: Black"
"Anvil FIG55S 1 in Short Welding Lug, Finish: Black"
"Anvil FIG55S 1/2 in Short Welding Lug, Finish: Black"
"Anvil FIG55S 2 in Short Welding Lug, Finish: Black"
"Anvil FIG55S 5/8 in Short Welding Lug, Finish: Black"
"Anvil FIG66 1 1/2 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 1 1/4 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 1 3/4 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 1 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 1 in Welded Beam Attachment (Connect with Hanger Rod), Finish: Black"
"Anvil FIG66 1/2 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 2 1/4 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 3/4 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 3/8 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 3/8 in Welded Beam Attachment (Connect to Bolt), Finish: Galvanized"
"Anvil FIG66 5/8 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
"Anvil FIG66 7/8 in Welded Beam Attachment (Connect to Bolt), Finish: Black"
Arch Transition
ARMSTRONG 600LB SOCKETWELD Y-TYPE STRAINER BOLTED SCREEN RETAINER B1SW
ARMSTRONG 600LB SOCKETWELD Y-TYPE STRAINER SPRING SCREEN RETAINER K1SW
ARMSTRONG STEAM TRAP
AS PER P&ID LINE HOLD
AT-194041A/B-O2/COMB(0171) /AT-194042A/B-O2/COMB(0171)
AT-194043A/B/C-STACK_CEMS (0171) / AT-194040A/B-SCR CEMS (0171)
AT-194053A/B-FURN_EFFLUENT (130)/AT-194069-CRACK_EFFLUENT (130)
ATM VENT
ATM VENT W/ GOOSENECK
ATM. CONDENSATE TRAP FLASH DRUM
Atmospheric Vent
ATTA COMMENT
ATTA PENETRATION
ATTA SPLIT ISO
ATTA TIE-IN POINT
ATTEMPERATOR
"Auto Recirculation valve 300# RF A352 LCB, TR#12, SIZE-10""X6"""
Automactic Recirculation Valve
"AUTOMATIC DRAIN VALVE, MNPT, SUPPLIED BY FIRE FIGHTING DEPARTMENT"
"AUTOMATIC RECIRCULATION VALVE, CL150, RF"
Automatic Transfer Switch
AUX BIR 1 FD FAN LUBE OIL 1
AUX BIR 1 FD FAN LUBE OIL 2
AUX BIR 2 FD FAN LUBE OIL 1
AUX BIR 2 FD FAN LUBE OIL 2
AUX BLR 1 FUEL SKID GAS DET 1
AUX BLR 1 FUEL SKID GAS DET 2
AUX BLR 1 FUEL SKID GASS DET 2
AUX BLR 2 FUEL SKID GAS DET 1
AUX BLR 2 FUEL SKID GAS DET 2
AUX BLR 2 FUEL SKID GASS DET 2
AUX BLR FUEL SKID GAS DET ALARM BEACON
AUX BLR FUEL SKID GAS DET ALARM HORN
AUX BOILER 1 - BPCS FIELD ENCLOSURE
AUX BOILER 1 - LIGHTOFF FIELD ENCLOSURE
AUX BOILER 1 - SIS FIELD ENCLOSURE
AUX BOILER 1 FD FAN
AUX BOILER 1 FD FAN FLUID COUPLING HEAT EXCHANGER
AUX BOILER 1 FD FAN LUBE OIL SKID
AUX BOILER 1 FD FAN MMS
AUX BOILER 1 FUEL SKID
AUX BOILER 1 RUNDOWN TANK
AUX BOILER 2 - BPCS FIELD ENCLOSURE
AUX BOILER 2 - LIGHTOFF FIELD ENCLOSURE
AUX BOILER 2 - SIS FIELD ENCLOSURE
AUX BOILER 2 FD FAN LUBE OIL SKID
AUX BOILER 2 FD FAN MMS
AUX BOILER 2 FUEL SKID
AUX BOILER 3 FUEL SKID
AUX BOILER 3 LUBE OIL SKID
AUX BOILER 3 RUNDOWN TANK
AUX BOILER 4 FUEL SKID
AUX BOILER 4 LUBE OIL SKID
AUX BOILER 4 RUNDOWN TANK
AUXILIARY BOILER 1
AUXILIARY BOILER 2
B & W
"BA10B Base Plate, 7""X7""X 1/2"" THK A36, W/ 4  - 1/2"" x 6"" Hilti HIT HY150 Adhesive Anchors"
"BA10B Plate, 7""X7""X 1/2"" THK With 4 - 1/2""X6"" HILTI Type HIT HY150 Epoxy Anchors"
"BA10C Plate, 9""X9""X 5/8"" THK With 4 - 5/8""X7"" HILTI Type HIT HY150 Epoxy Anchors"
"BA10D Plate, 11""X11""X 5/8"" THK With 4 - 5/8""X7"" HILTI Type HIT HY150 Epoxy Anchors"
"BA50A FLUOROGOLD Slide Plate, FC-1010-CS"
"BA50C FLUOROGOLD Slide Plate, FC-1037-CS"
"BACKING FLG, DI A536-60-40-18, CL150, RF, EPX COATED, B16.42, B16.5"
"BACKING FLG, DI A536-60-40-18, CL300, RF, EPX COATED, B16.42, B16.5"
BACKUP NITROGEN SUPPLY
BACKWASH STRAINER SKID
BACKWASH TANK
BACKWASH TANK PIPING SKID BY VENDOR
"Bal Fem,RB, MSS SP-110, ASTM B62 UNS C83600,400 Lbs, NPTF Ends, LO,-,"
"Bal Flg,FB,LP, API 608, ASTM A216 Gr.WCB,150 Lbs, RF, Ends as per ASME B16.5,-, LO,VOC,"
Balancing Valve
"BALL 1000# SW/SCRD 316, 3PC 316 RP HNDL OP"
"BALL 150# RF 316 SS, RP HNDL OP"
BALL 150# RF A216 WCB RPTFE SEATS CS CHROME PLATED BALL RP FS HNDL OP
BALL 150# RF A351-CF8M BALL AND TRIM SS316 SOFT SEAT FP FS HNDL OP
BALL 150# RF A352 LCB SS316 BALL AND TRIM SOFT SEAT FP FS HNDL OP
"BALL 150# RF ALLOY 20, SOFT SEAT RP FS HNDL OP"
BALL 150# RF LOTEMP A352 LCB RPTFE SEATS SS316 TRIM  RP FS GEAR OP SER A
BALL 150# RF LOTEMP A352 LCB SS316 TRIM RPTFE SEATS RP FS GR OP
BALL 150# RF LOTEMP A352 LCB SS316 TRIM RPTFE SEATS RP FS HNDL OP
"BALL 150# SW CPVC TRUE UNION, HNDL OP"
"BALL 150# SW PVC TRUE UNION, HNDL OP"
BALL 300# RF A216 WCB RPTFE SEATS CS CHROME PLATED BALL RP FS HNDL OP
BALL 300# RF A351 CN7M RPTFE SEATS ALLOY 20 BALL RP FS HNDL OP
BALL 300# RF A351-CF8M BALL SS316 WITH STEL OVERLAY SS316 TRIM METAL SEAT FP FS HNDL OP
BALL 300# RF A352 LCB SS316 BALL AND TRIM SOFT SEAT FP FS HNDL OP
BALL 300# RF LOTEMP A352 LCB RPTFE SEATS SS316 TRIM  RP FS GEAR OP
BALL 300# RF LOTEMP A352 LCB RPTFE SEATS SS316 TRIM  RP FS GEAR OP SER A
BALL 600# RF LOTEMP A352 LCB PEEK SEATS RP FS HNDL OP
BALL 600# RF LOTEMP A352 LCB SS316 TRIM PEEK SEATS RP FS HNDL OP
BALL 600# SW LOTEMP A350 LF2 CL1 3PC SS316 TRIM  RPTFE SEATS RP FS HNDL OP
BALL 600# SW LOTEMP A350 LF2 CL1 3PC SS316 TRIM RPTFE SEATS RP FS HNDL OP
BALL 600# SW/SCRD LOTEMP A350 LF2 CL1 3PC SS316 TRIM  RPTFE SEATS RP FS HNDL OP
BALL 900# RF LOTEMP A352 LCB SS316 TRIM PEEK SEATS RP FS GEAR OP
BALL 900# RF LOTEMP A352 LCB SS316 TRIM PEEK SEATS RP FS HNDL OP
BALL CIRCULATION PUMP
BALL CLEANING PACKAGE
BALL CLEANING SAFETY SHOWER
BALL CLEANING SUMP PUMP
BALL CLEANING SUMP TANK
BALL CLEANING SYS CONTROL PNL WITH PLC
BALL COLLECTION STRAINER
BALL COLLECTOR
BALL CONTROL VALVE
Ball Valve
"Ball Valve 150# RF A105N Body PTFE seat Monel Ball & Stem LO Spring Return, NACE MR0103"
Ball Valve 150# RF B462 N08020 Body PTFE seat Alloy 20 Ball & Stem LO Spring Return
"Ball Valve B16.34/API 608 A105N - CL 600 SWE Full Port Floating Type, 3 Piece Body Lever Seats RPTFE Ball, Stem: 316SS -"
"Ball Valve B16.34/API 608 A105N - CL 600 SWE Red. Port Floating Type, 3 Piece Body Lever Seats RPTFE Ball, Stem: 316SS -"
"Ball Valve B16.34/API 608 A182 Gr F316/316L Dual - CL 150 RF Red. Port Floating Type, 2/3 Piece Body Lever Seats RPTFE Ball, Stem, 316SS NACE MR0103 -"
"Ball Valve B16.34/API 608 A182 Gr F316/316L Dual - CL 600 SWE Red. Port Floating Type, 3 Piece Body Lever Seats RPTFE Ball, Stem, 316SS -"
"Ball Valve B16.34/API 608 A216 Gr WCB - CL 300 RF Red. Port Floating Type, 2/3 Piece Body Gear Op. Lockable, Stellited HF Seats, Graphite Packing w/Anti Extrusion Rings, Ball, Stem: 316SS Fire Safe, -"
"Ball Valve B16.34/API 608 A216 Gr WCB - CL 300 RF Red. Port Floating Type, 2/3 Piece Body Lever Seats RPTFE Ball, Stem: 316SS -"
"Ball Valve B16.34/API 608 A350-LF2 CL1 - CL 600 SWE Red. Port Floating Type, 2/3 Piece Body Lever Seats RPTFE Ball, Stem: 316SS -"
"Ball Valve B16.34/API 608 A352 Gr LCC - CL 150 RF Red. Port Floating Type, 2/3 Piece Body Lever Seats RPTFE Ball, Stem: 316SS -"
Ball Valve Tier 3
"BALL VALVE, 600 PSI CWP RATING, MSS SP-110, SOLDER JOINTS"
"BALL VALVE, MIN. 600 PSI RATING, MSS SP-110, SOLDER JOINTS"
"BALL VALVE, R-SP-1007, CL150, LEVER, A350 LF2"
"BALL, A182-F316/F316L, CL800, FNPT, B16.11, MFR DIMS, 1-PC, FLOAT, RP, 316SS BALL/STEM,PTFE ST,FS,LO"
"BALL, CS A105N, CL150, RF, B16.5, B16.10 DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO (SP NO: 612SP-90071)"
"BALL, CS A105N, CL150, RF, B16.5, B16.10 DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO (SP NO: 612SP-90075)"
"BALL, CS A105N, CL150, RF, B16.5, B16.10 DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO (SP NO: 612SP-90076)"
"BALL, CS A105N, CL300, RF, B16.5, B16.10 DIMS, FLOAT, API 608, FP, 316SS BALL/STEM, 316SS ST, LO (SP NO: 612SP-90073)"
"BALL, CS A105N, CL300, RF, B16.5, B16.10 DIMS, FLOAT, API 608, RP, 13CR BALL/STEM, METAL ST, LO (SP NO: 612SP-90072)"
"BALL, CS A105N, CL300, RF, B16.5, B16.10 DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO (SP NO: 612SP-90078)"
"BALL, CS A105N, CL600, FNPT, B16.11, MFR DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO"
"BALL, CS A105N, CL600, SW, B16.11, MFR DIMS, FLOAT, API 608, FP, 316SS BALL/STEM, 316SS ST, LO"
"BALL, CS A105N, CL600, SW, B16.11, MFR DIMS, FLOAT, API 608, RP, 13CR BALL/STEM, METAL ST, LO"
"BALL, CS A105N, CL600, SW, MFR DIMS, FLOAT, API 608, RP, 316SS BALL/STEM, PTFE ST, FS, LO, W/NIP-S160(PBE) 6"""
"BALL, CS A216-WCB, CL150, RF, B16.5,B16.10 LONG,FLOAT,API 608,RP, 316SS BALL/STEM, PTFE ST, FS, GO"
"BALL, CS A216-WCB, CL150, RF, B16.5,B16.10 LONG,FLOAT,API 608,RP, 316SS BALL/STEM, PTFE ST, FS, LO"
